ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765478391.2923353,99,32,25,67,32,3.6499900817871094,34.5,35.0,9.106
1765478391.4937103,99,32,25,67,32,3.6499900817871094,34.5,35.0,9.106
1765478391.694744,99,32,25,67,32,3.6499900817871094,34.5,35.0,9.106
1765478391.895799,99,41,64,43,62,3.6585044860839844,34.0,35.5,8.582
1765478392.0969472,99,41,64,43,62,3.6585044860839844,34.0,35.5,8.582
1765478392.297889,99,68,42,54,30,3.6384849548339844,35.0,34.5,8.055
1765478392.4992766,99,68,42,54,30,3.6384849548339844,35.0,34.5,8.055
1765478392.7004764,99,68,42,54,30,3.6384849548339844,35.0,34.5,8.055
1765478392.9016836,99,38,50,37,27,3.6524314880371094,34.5,35.0,8.279
1765478393.1686158,99,38,50,37,27,3.6524314880371094,34.5,35.0,8.279
1765478393.3697689,89,32,32,27,30,3.6567726135253906,33.5,35.0,6.019
1765478393.5709574,89,32,32,27,30,3.6567726135253906,33.5,35.0,6.019
1765478393.7718942,99,52,44,58,50,3.6393966674804688,34.5,35.0,7.551
1765478393.972998,99,52,44,58,50,3.6393966674804688,34.5,35.0,7.551
1765478394.174214,99,52,44,58,50,3.6393966674804688,34.5,35.0,7.551
1765478394.3752165,99,52,44,58,50,3.6393966674804688,34.5,35.0,7.551
1765478394.5763915,28,26,17,28,18,3.6319351196289062,34.0,35.0,5.787
1765478394.7775292,99,23,19,16,34,3.6327972412109375,35.0,35.0,8.2
1765478394.9787228,99,23,19,16,34,3.6327972412109375,35.0,35.0,8.2
1765478395.1798089,99,23,19,16,34,3.6327972412109375,35.0,35.0,8.2
1765478395.3807793,99,34,40,36,53,3.631366729736328,34.5,35.5,7.909
1765478395.581889,99,34,40,36,53,3.631366729736328,34.5,35.5,7.909
1765478395.782944,99,34,40,36,53,3.631366729736328,34.5,35.5,7.909
1765478395.9844198,99,27,19,20,20,3.63214111328125,35.0,35.0,7.444
1765478396.1855595,99,27,19,20,20,3.63214111328125,35.0,35.0,7.444
1765478396.3867123,99,33,29,58,26,3.6316871643066406,34.5,36.0,8.424
1765478396.587793,99,33,29,58,26,3.6316871643066406,34.5,36.0,8.424
1765478396.7886763,99,33,29,58,26,3.6316871643066406,34.5,36.0,8.424
1765478396.9898696,99,18,14,24,12,3.630096435546875,34.5,35.0,6.48
1765478397.1908681,99,18,14,24,12,3.630096435546875,34.5,35.0,6.48
1765478397.3920166,99,38,48,40,34,3.6306495666503906,35.0,35.0,8.055
1765478397.592961,99,38,48,40,34,3.6306495666503906,35.0,35.0,8.055
1765478397.7974725,99,38,48,40,34,3.6306495666503906,35.0,35.0,8.055
1765478397.998591,99,30,34,27,40,3.630859375,35.0,36.0,8.24
1765478398.2127771,99,30,34,27,40,3.630859375,35.0,36.0,8.24
1765478398.4138067,99,34,10,13,9,3.631145477294922,35.0,35.5,8.134
1765478398.614859,99,34,10,13,9,3.631145477294922,35.0,35.5,8.134
1765478398.8161025,99,34,10,13,9,3.631145477294922,35.0,35.5,8.134
1765478399.017217,99,54,31,29,30,3.6302490234375,35.0,35.5,7.789
1765478399.2183156,99,54,31,29,30,3.6302490234375,35.0,35.5,7.789
1765478399.4200568,66,34,42,35,34,3.631855010986328,34.5,35.5,5.747
1765478399.6221194,66,34,42,35,34,3.631855010986328,34.5,35.5,5.747
1765478399.8267171,66,34,42,35,34,3.631855010986328,34.5,35.5,5.747
1765478400.0328565,99,50,51,62,66,3.633056640625,35.5,36.0,8.398
1765478400.2340894,99,50,51,62,66,3.633056640625,35.5,36.0,8.398
1765478400.4353118,99,40,36,42,36,3.6247940063476562,35.5,35.5,6.948
