image,latency_ms
n01694178_999.JPEG,1158.903
n01729322_10113.JPEG,1160.082
n01729322_2358.JPEG,1106.820
n01729322_7035.JPEG,1083.677
n01729322_7119.JPEG,1117.810
n01742172_10565.JPEG,1093.387
n01742172_1270.JPEG,1105.038
n01742172_1307.JPEG,1083.403
n01742172_1309.JPEG,1138.300
n01742172_1543.JPEG,1087.637
n01742172_1688.JPEG,1088.982
n01742172_17103.JPEG,1114.821
n01742172_1713.JPEG,1083.075
n01742172_1740.JPEG,1148.552
n01742172_1842.JPEG,1087.239
n01742172_2074.JPEG,1096.721
n01742172_21585.JPEG,1101.290
n01742172_21614.JPEG,1095.152
n01742172_21789.JPEG,1119.687
n01742172_21901.JPEG,1106.506
n01742172_22357.JPEG,1106.325
n01742172_23665.JPEG,1088.459
n01742172_2378.JPEG,1093.983
n01742172_24820.JPEG,1137.816
n01742172_27602.JPEG,1104.644
n01742172_2815.JPEG,1114.650
n01742172_29106.JPEG,1089.700
n01742172_2939.JPEG,1087.367
n01742172_30324.JPEG,1084.446
n01742172_3037.JPEG,1101.422
n01742172_305.JPEG,1096.016
n01742172_3927.JPEG,1098.176
n01742172_3944.JPEG,1105.462
n01742172_4176.JPEG,1092.777
n01742172_4208.JPEG,1106.499
n01742172_4258.JPEG,1098.396
n01742172_4285.JPEG,1089.383
n01742172_4635.JPEG,1097.600
n01742172_4846.JPEG,1143.403
n01742172_4912.JPEG,1180.568
n01742172_5028.JPEG,1113.037
n01742172_5086.JPEG,1137.980
n01742172_5419.JPEG,1147.156
n01742172_5517.JPEG,1082.789
n01742172_6567.JPEG,1115.046
n01742172_6638.JPEG,1091.683
n01742172_6777.JPEG,1101.442
n01742172_7306.JPEG,1091.660
n01742172_760.JPEG,1099.390
n01742172_8412.JPEG,1132.279
n01742172_8447.JPEG,1087.437
n01742172_8697.JPEG,1142.106
n01742172_8887.JPEG,1107.319
n01742172_9230.JPEG,1103.935
n01742172_9446.JPEG,1150.234
n01744401_11646.JPEG,1089.278
n01744401_12113.JPEG,1102.347
n01744401_12140.JPEG,1085.192
n01744401_14.JPEG,1081.988
n01744401_14224.JPEG,1083.199
n01744401_2313.JPEG,1087.532
n01744401_2506.JPEG,1101.767
n01744401_2653.JPEG,1087.020
n01744401_299.JPEG,1490.164
n01744401_3430.JPEG,1100.666
n01744401_376.JPEG,1116.070
n01744401_3828.JPEG,1088.801
n01744401_4078.JPEG,1094.466
n01744401_45.JPEG,1092.587
n01744401_8186.JPEG,1112.856
n01744401_8671.JPEG,1085.583
n01774750_10010.JPEG,1113.038
n01774750_1103.JPEG,1085.210
n01774750_13131.JPEG,1104.241
n01774750_19.JPEG,1091.559
n01774750_240.JPEG,1093.904
n01774750_3343.JPEG,1132.771
n01774750_4790.JPEG,1106.723
n01774750_4932.JPEG,1129.290
n01774750_5319.JPEG,1121.539
n01774750_6942.JPEG,1098.507
n01774750_7389.JPEG,1127.193
n01774750_8622.JPEG,1092.511
n01774750_9685.JPEG,1108.292
n01796340_16513.JPEG,1093.415
n01796340_17899.JPEG,1097.215
n01820546_15031.JPEG,1087.851
n01820546_16211.JPEG,1099.689
n01820546_17794.JPEG,1130.528
n01820546_18704.JPEG,1093.162
n01820546_3298.JPEG,1105.831
n01820546_3782.JPEG,1113.178
n01820546_4307.JPEG,1126.651
n01820546_439.JPEG,1141.684
n01820546_4570.JPEG,1099.777
n01820546_6582.JPEG,1104.665
n01820546_6916.JPEG,1087.593
n01820546_9467.JPEG,1096.625
n01871265_1008.JPEG,1092.035
n01871265_1132.JPEG,1127.191
n01871265_1241.JPEG,1115.427
n01871265_12597.JPEG,1090.995
n01871265_1375.JPEG,1115.397
n01871265_1526.JPEG,1091.801
n01871265_1663.JPEG,1094.359
n01871265_16945.JPEG,1103.684
n01871265_1817.JPEG,1079.998
n01871265_1956.JPEG,1123.226
n01871265_2096.JPEG,1085.304
n01871265_2283.JPEG,1116.811
n01871265_246.JPEG,1090.992
n01871265_2496.JPEG,1104.389
n01871265_2973.JPEG,1088.995
n01871265_3192.JPEG,1100.879
n01871265_3409.JPEG,1123.261
n01871265_3487.JPEG,1091.909
