image,latency_ms
n01694178_999.JPEG,813.899
n01729322_10113.JPEG,821.862
n01729322_2358.JPEG,823.075
n01729322_7035.JPEG,804.803
n01729322_7119.JPEG,815.658
n01742172_10565.JPEG,796.537
n01742172_1270.JPEG,794.109
n01742172_1307.JPEG,804.119
n01742172_1309.JPEG,803.728
n01742172_1543.JPEG,796.368
n01742172_1688.JPEG,788.408
n01742172_17103.JPEG,846.668
n01742172_1713.JPEG,792.861
n01742172_1740.JPEG,827.125
n01742172_1842.JPEG,870.000
n01742172_2074.JPEG,847.134
n01742172_21585.JPEG,809.268
n01742172_21614.JPEG,790.374
n01742172_21789.JPEG,787.634
n01742172_21901.JPEG,818.549
n01742172_22357.JPEG,816.006
n01742172_23665.JPEG,831.602
n01742172_2378.JPEG,796.983
n01742172_24820.JPEG,799.343
n01742172_27602.JPEG,797.607
n01742172_2815.JPEG,798.740
n01742172_29106.JPEG,812.507
n01742172_2939.JPEG,826.128
n01742172_30324.JPEG,806.826
n01742172_3037.JPEG,797.849
n01742172_305.JPEG,790.864
n01742172_3927.JPEG,785.640
n01742172_3944.JPEG,793.653
n01742172_4176.JPEG,791.187
n01742172_4208.JPEG,798.562
n01742172_4258.JPEG,797.042
n01742172_4285.JPEG,799.356
n01742172_4635.JPEG,793.645
n01742172_4846.JPEG,827.059
n01742172_4912.JPEG,876.724
n01742172_5028.JPEG,838.293
n01742172_5086.JPEG,797.206
n01742172_5419.JPEG,798.210
n01742172_5517.JPEG,807.457
n01742172_6567.JPEG,800.834
n01742172_6638.JPEG,794.906
n01742172_6777.JPEG,796.041
n01742172_7306.JPEG,799.432
n01742172_760.JPEG,800.461
n01742172_8412.JPEG,792.799
n01742172_8447.JPEG,800.142
n01742172_8697.JPEG,798.617
n01742172_8887.JPEG,798.901
n01742172_9230.JPEG,799.033
n01742172_9446.JPEG,792.352
n01744401_11646.JPEG,814.824
n01744401_12113.JPEG,800.892
n01744401_12140.JPEG,815.669
n01744401_14.JPEG,785.191
n01744401_14224.JPEG,791.235
n01744401_2313.JPEG,795.188
n01744401_2506.JPEG,808.950
n01744401_2653.JPEG,798.394
n01744401_299.JPEG,1293.154
n01744401_3430.JPEG,801.778
n01744401_376.JPEG,880.125
n01744401_3828.JPEG,807.808
n01744401_4078.JPEG,796.479
n01744401_45.JPEG,810.823
n01744401_8186.JPEG,801.087
n01744401_8671.JPEG,805.497
n01774750_10010.JPEG,815.832
n01774750_1103.JPEG,804.755
n01774750_13131.JPEG,803.745
n01774750_19.JPEG,812.345
n01774750_240.JPEG,806.202
n01774750_3343.JPEG,824.610
n01774750_4790.JPEG,814.203
n01774750_4932.JPEG,808.691
n01774750_5319.JPEG,814.323
n01774750_6942.JPEG,800.129
n01774750_7389.JPEG,802.916
n01774750_8622.JPEG,819.721
n01774750_9685.JPEG,807.486
n01796340_16513.JPEG,824.866
n01796340_17899.JPEG,811.240
n01820546_15031.JPEG,798.792
n01820546_16211.JPEG,814.204
n01820546_17794.JPEG,830.852
n01820546_18704.JPEG,811.497
n01820546_3298.JPEG,835.226
n01820546_3782.JPEG,807.453
n01820546_4307.JPEG,845.423
n01820546_439.JPEG,809.055
n01820546_4570.JPEG,822.648
n01820546_6582.JPEG,791.676
n01820546_6916.JPEG,804.053
n01820546_9467.JPEG,792.268
n01871265_1008.JPEG,791.377
n01871265_1132.JPEG,813.622
n01871265_1241.JPEG,792.006
n01871265_12597.JPEG,812.742
n01871265_1375.JPEG,797.134
n01871265_1526.JPEG,792.722
n01871265_1663.JPEG,808.205
n01871265_16945.JPEG,789.629
n01871265_1817.JPEG,790.072
n01871265_1956.JPEG,817.157
n01871265_2096.JPEG,803.553
n01871265_2283.JPEG,801.136
n01871265_246.JPEG,800.356
n01871265_2496.JPEG,829.780
n01871265_2973.JPEG,796.598
n01871265_3192.JPEG,793.253
n01871265_3409.JPEG,818.314
n01871265_3487.JPEG,817.754
n01871265_3737.JPEG,804.201
n01871265_3766.JPEG,790.262
n01871265_4565.JPEG,805.622
n01871265_4987.JPEG,786.913
n01871265_5397.JPEG,825.186
n01871265_6535.JPEG,813.989
n01871265_7041.JPEG,823.903
n01871265_7197.JPEG,802.337
n01871265_7283.JPEG,786.776
n01871265_75.JPEG,807.527
n01871265_8112.JPEG,807.599
n01871265_945.JPEG,812.270
n01871265_9572.JPEG,801.362
n01872401_1120.JPEG,793.743
n01872401_1283.JPEG,796.210
n01872401_13216.JPEG,797.600
n01872401_14607.JPEG,789.019
n01872401_1557.JPEG,795.200
n01872401_16883.JPEG,789.631
n01872401_17066.JPEG,804.412
n01872401_1936.JPEG,801.521
n01872401_2391.JPEG,798.270
n01872401_2591.JPEG,797.843
n01872401_2958.JPEG,793.569
n01872401_30058.JPEG,795.901
n01872401_3150.JPEG,788.619
n01872401_3285.JPEG,801.518
n01872401_3443.JPEG,800.373
n01872401_4868.JPEG,791.896
n01872401_5655.JPEG,794.272
n01872401_7848.JPEG,796.100
n01872401_9683.JPEG,793.766
n01873310_13627.JPEG,794.967
n01873310_13765.JPEG,799.667
n01873310_14420.JPEG,802.185
n01873310_14808.JPEG,792.833
n01873310_15954.JPEG,809.096
n01873310_1619.JPEG,797.656
n01873310_22748.JPEG,810.970
n01873310_3143.JPEG,813.393
n01873310_4811.JPEG,795.760
n01873310_5489.JPEG,818.275
n01877812_1005.JPEG,794.222
n01877812_10071.JPEG,793.632
n01877812_10072.JPEG,799.755
n01877812_10218.JPEG,800.641
n01877812_10911.JPEG,793.206
n01877812_10915.JPEG,806.595
n01877812_10973.JPEG,802.963
n01877812_1099.JPEG,794.100
n01877812_11056.JPEG,787.149
n01877812_1111.JPEG,796.908
n01877812_11177.JPEG,796.452
n01877812_11279.JPEG,787.600
n01877812_11303.JPEG,796.014
n01877812_11325.JPEG,796.104
n01877812_11408.JPEG,797.616
n01877812_11441.JPEG,787.594
n01877812_11468.JPEG,798.756
n01877812_11580.JPEG,785.814
n01877812_11639.JPEG,798.451
n01877812_11660.JPEG,804.755
n01877812_11698.JPEG,796.468
n01877812_11749.JPEG,808.146
n01877812_11766.JPEG,786.907
n01877812_11875.JPEG,789.025
n01877812_11959.JPEG,789.087
n01877812_12076.JPEG,788.300
n01877812_12143.JPEG,789.642
n01877812_1217.JPEG,791.453
n01877812_1268.JPEG,794.694
n01877812_1270.JPEG,792.575
n01877812_1438.JPEG,799.708
n01877812_1565.JPEG,790.035
n01877812_1630.JPEG,804.876
n01877812_1846.JPEG,796.727
n01877812_1862.JPEG,793.458
n01877812_1962.JPEG,806.497
n01877812_1963.JPEG,806.745
n01877812_2050.JPEG,794.063
n01877812_2092.JPEG,793.410
n01877812_21558.JPEG,792.483
n01877812_2160.JPEG,800.806
n01877812_2172.JPEG,794.669
n01877812_22.JPEG,794.697
n01877812_2203.JPEG,803.572
n01877812_2241.JPEG,796.026
n01877812_2245.JPEG,795.120
n01877812_2307.JPEG,792.388
n01877812_2598.JPEG,800.820
n01877812_2638.JPEG,788.190
n01877812_2661.JPEG,798.955
n01877812_2687.JPEG,799.498
n01877812_2697.JPEG,798.437
n01877812_2822.JPEG,800.385
n01877812_2830.JPEG,798.548
n01877812_3006.JPEG,796.345
n01877812_3119.JPEG,794.575
n01877812_3139.JPEG,800.917
n01877812_3163.JPEG,794.867
n01877812_3304.JPEG,798.300
n01877812_3336.JPEG,793.139
n01877812_3348.JPEG,793.847
n01877812_3448.JPEG,802.312
n01877812_348.JPEG,799.404
n01877812_357.JPEG,815.500
n01877812_3607.JPEG,797.586
n01877812_3675.JPEG,800.913
n01877812_37.JPEG,801.052
n01877812_3773.JPEG,793.815
n01877812_3793.JPEG,799.901
n01877812_3900.JPEG,801.300
n01877812_398.JPEG,793.688
n01877812_4033.JPEG,803.569
n01877812_4048.JPEG,802.672
n01877812_4277.JPEG,792.694
n01877812_4345.JPEG,795.332
n01877812_4396.JPEG,801.396
n01877812_4422.JPEG,793.824
n01877812_4462.JPEG,797.192
n01877812_459.JPEG,810.547
n01877812_469.JPEG,794.321
n01877812_4734.JPEG,791.452
n01877812_4803.JPEG,788.266
