ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765485628.00034,0,26,31,16,32,3.679840087890625,69.0,71.0,3.373
1765485628.2017353,0,26,31,16,32,3.679840087890625,69.0,71.0,3.373
1765485628.4034076,0,26,31,16,32,3.679840087890625,69.0,71.0,3.373
1765485628.6047392,99,59,51,50,51,3.6676673889160156,58.5,59.5,9.352
1765485628.8057516,99,59,51,50,51,3.6676673889160156,58.5,59.5,9.352
1765485629.0071156,99,59,51,50,51,3.6676673889160156,58.5,59.5,9.352
1765485629.208291,99,63,58,69,91,3.6632041931152344,58.5,59.5,9.013
1765485629.4094672,99,63,58,69,91,3.6632041931152344,58.5,59.5,9.013
1765485629.6107173,99,28,24,47,46,3.6573448181152344,58.0,59.0,8.687
1765485629.8117368,99,28,24,47,46,3.6573448181152344,58.0,59.0,8.687
1765485630.0128076,99,28,24,47,46,3.6573448181152344,58.0,59.0,8.687
1765485630.2137468,99,33,56,32,36,3.651763916015625,58.0,58.5,7.697
1765485630.4150991,99,33,56,32,36,3.651763916015625,58.0,58.5,7.697
1765485630.6161795,98,17,24,16,20,3.652080535888672,58.0,58.5,7.057
1765485630.819279,98,17,24,16,20,3.652080535888672,58.0,58.5,7.057
1765485631.0204341,98,17,24,16,20,3.652080535888672,58.0,58.5,7.057
1765485631.2215374,99,28,34,33,52,3.6520347595214844,58.0,58.5,7.883
1765485631.4226024,99,28,34,33,52,3.6520347595214844,58.0,58.5,7.883
1765485631.623804,99,17,21,13,27,3.6531524658203125,58.0,58.5,7.816
1765485631.824827,99,17,21,13,27,3.6531524658203125,58.0,58.5,7.816
1765485632.0257819,99,17,21,13,27,3.6531524658203125,58.0,58.5,7.816
1765485632.2268693,99,28,21,24,54,3.6540069580078125,58.0,58.5,7.551
1765485632.4279056,99,28,21,24,54,3.6540069580078125,58.0,58.5,7.551
1765485632.629035,99,17,16,16,24,3.6545143127441406,58.0,58.5,7.432
1765485632.8300047,99,17,16,16,24,3.6545143127441406,58.0,58.5,7.432
1765485633.0313456,99,17,16,16,24,3.6545143127441406,58.0,58.5,7.432
1765485633.2327688,99,32,41,38,35,3.654743194580078,58.5,59.5,8.002
1765485633.433944,99,32,41,38,35,3.654743194580078,58.5,59.5,8.002
1765485633.635336,99,32,41,38,35,3.654743194580078,58.5,59.5,8.002
1765485633.836366,99,58,27,19,12,3.6538619995117188,58.5,59.5,8.489
1765485634.0375311,99,58,27,19,12,3.6538619995117188,58.5,59.5,8.489
1765485634.2387464,99,54,32,26,28,3.6555938720703125,58.0,59.0,7.591
1765485634.4397244,99,54,32,26,28,3.6555938720703125,58.0,59.0,7.591
1765485634.6412501,99,22,24,18,29,3.6559677124023438,58.0,58.5,7.324
1765485634.8421383,99,22,24,18,29,3.6559677124023438,58.0,58.5,7.324
1765485635.044231,99,22,24,18,29,3.6559677124023438,58.0,58.5,7.324
1765485635.2453108,99,32,41,27,29,3.6565895080566406,58.0,59.0,7.962
1765485635.4462552,99,32,41,27,29,3.6565895080566406,58.0,59.0,7.962
1765485635.6473134,99,32,41,27,29,3.6565895080566406,58.0,59.0,7.962
1765485635.848262,99,14,12,14,21,3.6559677124023438,58.0,59.0,7.352
1765485636.049352,99,14,12,14,21,3.6559677124023438,58.0,59.0,7.352
1765485636.2503176,99,26,31,54,24,3.656024932861328,58.5,59.5,7.432
1765485636.4513197,99,26,31,54,24,3.656024932861328,58.5,59.5,7.432
1765485636.6525753,99,26,31,54,24,3.656024932861328,58.5,59.5,7.432
1765485636.8535316,99,22,24,29,24,3.6564559936523438,58.5,59.0,7.364
1765485637.0545535,99,22,24,29,24,3.6564559936523438,58.5,59.0,7.364
1765485637.2555075,99,40,23,26,33,3.6570701599121094,58.5,59.5,7.936
1765485637.4564235,99,40,23,26,33,3.6570701599121094,58.5,59.5,7.936
1765485637.6575723,99,40,23,26,33,3.6570701599121094,58.5,59.5,7.936
1765485637.8585262,99,19,16,22,14,3.6560440063476562,58.0,58.5,7.245
1765485638.0594652,99,19,16,22,14,3.6560440063476562,58.0,58.5,7.245
1765485638.2605011,99,25,27,60,20,3.656604766845703,58.0,60.0,7.432
1765485638.461577,99,25,27,60,20,3.656604766845703,58.0,60.0,7.432
1765485638.6626494,99,25,27,60,20,3.656604766845703,58.0,60.0,7.432
1765485638.8637047,99,18,18,25,18,3.6567459106445312,58.5,59.0,7.936
1765485639.0646868,99,18,18,25,18,3.6567459106445312,58.5,59.0,7.936
1765485639.2658,99,27,42,18,13,3.656139373779297,58.0,59.0,7.511
1765485639.4669192,99,27,42,18,13,3.656139373779297,58.0,59.0,7.511
1765485639.668098,99,27,42,18,13,3.656139373779297,58.0,59.0,7.511
1765485639.8691432,98,19,26,16,24,3.656597137451172,58.5,59.0,7.245
1765485640.0705779,98,19,26,16,24,3.656597137451172,58.5,59.0,7.245
1765485640.2716475,99,54,28,28,27,3.6565093994140625,58.0,59.5,7.432
1765485640.4726896,99,54,28,28,27,3.6565093994140625,58.0,59.5,7.432
1765485640.6738281,99,54,28,28,27,3.6565093994140625,58.0,59.5,7.432
1765485640.8748994,99,25,14,25,16,3.6575279235839844,58.5,59.0,7.737
1765485641.0759866,99,25,14,25,16,3.6575279235839844,58.5,59.0,7.737
1765485641.2771168,99,21,26,48,20,3.656768798828125,58.5,59.5,7.551
1765485641.4780731,99,21,26,48,20,3.656768798828125,58.5,59.5,7.551
1765485641.6791353,99,21,26,48,20,3.656768798828125,58.5,59.5,7.551
1765485641.8803,99,22,17,27,20,3.656536102294922,58.5,58.5,7.284
1765485642.081606,99,22,17,27,20,3.656536102294922,58.5,58.5,7.284
1765485642.2827652,99,36,32,26,48,3.6572494506835938,58.0,59.0,7.816
1765485642.483672,99,36,32,26,48,3.6572494506835938,58.0,59.0,7.816
1765485642.6847234,99,36,32,26,48,3.6572494506835938,58.0,59.0,7.816
1765485642.8856397,99,8,26,12,18,3.6579666137695312,58.5,59.0,7.962
1765485643.0865262,99,8,26,12,18,3.6579666137695312,58.5,59.0,7.962
1765485643.2875876,99,28,24,29,42,3.657268524169922,58.0,59.0,6.897
1765485643.4885967,99,28,24,29,42,3.657268524169922,58.0,59.0,6.897
1765485643.6896472,99,28,24,29,42,3.657268524169922,58.0,59.0,6.897
1765485643.890784,99,18,19,14,42,3.6582260131835938,58.5,59.0,7.471
1765485644.0918822,99,18,19,14,42,3.6582260131835938,58.5,59.0,7.471
1765485644.3036957,99,36,27,35,30,3.6572952270507812,58.0,59.5,7.962
1765485644.5049589,99,36,27,35,30,3.6572952270507812,58.0,59.5,7.962
1765485644.7060046,99,36,27,35,30,3.6572952270507812,58.0,59.5,7.962
1765485644.9072077,99,40,27,19,17,3.656646728515625,58.5,59.0,7.511
1765485645.108161,99,40,27,19,17,3.656646728515625,58.5,59.0,7.511
1765485645.3092794,99,30,25,26,43,3.656932830810547,58.5,60.0,7.471
1765485645.5103867,99,30,25,26,43,3.656932830810547,58.5,60.0,7.471
1765485645.7114363,99,30,25,26,43,3.656932830810547,58.5,60.0,7.471
1765485645.9126382,99,43,16,26,22,3.6568450927734375,59.0,59.0,7.511
1765485646.1136568,99,43,16,26,22,3.6568450927734375,59.0,59.0,7.511
1765485646.3148668,99,43,16,26,22,3.6568450927734375,59.0,59.0,7.511
1765485646.5162954,99,25,16,32,28,3.6574668884277344,58.5,59.5,7.618
1765485646.7172742,99,25,16,32,28,3.6574668884277344,58.5,59.5,7.618
1765485646.918246,99,34,12,15,19,3.6566696166992188,59.0,58.5,7.591
1765485647.1189914,99,34,12,15,19,3.6566696166992188,59.0,58.5,7.591
1765485647.3200884,99,34,12,15,19,3.6566696166992188,59.0,58.5,7.591
1765485647.5211883,99,26,37,40,26,3.657512664794922,58.5,60.0,7.324
1765485647.7222486,99,26,37,40,26,3.657512664794922,58.5,60.0,7.324
1765485647.9234238,99,29,23,16,38,3.6575660705566406,59.0,59.0,7.618
1765485648.1243696,99,29,23,16,38,3.6575660705566406,59.0,59.0,7.618
1765485648.325567,99,29,23,16,38,3.6575660705566406,59.0,59.0,7.618
1765485648.5265956,99,22,23,26,22,3.6579856872558594,58.5,59.5,7.697
1765485648.7274847,99,22,23,26,22,3.6579856872558594,58.5,59.5,7.697
1765485648.928805,99,23,19,29,28,3.657684326171875,59.0,59.5,7.471
1765485649.129778,99,23,19,29,28,3.657684326171875,59.0,59.5,7.471
1765485649.3308995,99,23,19,29,28,3.657684326171875,59.0,59.5,7.471
1765485649.5320501,99,34,39,26,24,3.6577110290527344,58.5,59.0,6.509
1765485649.7331333,99,34,39,26,24,3.6577110290527344,58.5,59.0,6.509
1765485649.9341872,99,22,47,17,18,3.6589126586914062,59.0,60.0,8.45
1765485650.1351042,99,22,47,17,18,3.6589126586914062,59.0,60.0,8.45
1765485650.3362896,99,22,47,17,18,3.6589126586914062,59.0,60.0,8.45
1765485650.5374272,0,14,16,13,23,3.658336639404297,58.0,60.0,4.999
1765485650.7385492,0,14,16,13,23,3.658336639404297,58.0,60.0,4.999
1765485650.9396808,99,18,50,23,20,3.6583328247070312,58.5,59.0,6.857
1765485651.1408334,99,18,50,23,20,3.6583328247070312,58.5,59.0,6.857
1765485651.3418963,99,18,50,23,20,3.6583328247070312,58.5,59.0,6.857
1765485651.543047,0,30,20,21,20,3.658599853515625,58.5,59.0,5.152
