image,latency_ms
n01694178_999.JPEG,826.512
n01729322_10113.JPEG,842.972
n01729322_2358.JPEG,837.594
n01729322_7035.JPEG,816.906
n01729322_7119.JPEG,831.432
n01742172_10565.JPEG,881.261
n01742172_1270.JPEG,818.340
n01742172_1307.JPEG,838.751
n01742172_1309.JPEG,816.477
n01742172_1543.JPEG,815.907
n01742172_1688.JPEG,864.900
n01742172_17103.JPEG,831.726
n01742172_1713.JPEG,835.379
n01742172_1740.JPEG,830.206
n01742172_1842.JPEG,814.929
n01742172_2074.JPEG,826.179
n01742172_21585.JPEG,825.365
n01742172_21614.JPEG,861.340
n01742172_21789.JPEG,865.021
n01742172_21901.JPEG,822.909
n01742172_22357.JPEG,832.265
n01742172_23665.JPEG,819.900
n01742172_2378.JPEG,824.057
n01742172_24820.JPEG,838.607
n01742172_27602.JPEG,827.089
n01742172_2815.JPEG,877.163
n01742172_29106.JPEG,837.429
n01742172_2939.JPEG,838.398
n01742172_30324.JPEG,860.699
n01742172_3037.JPEG,822.995
n01742172_305.JPEG,820.978
n01742172_3927.JPEG,818.964
n01742172_3944.JPEG,831.054
n01742172_4176.JPEG,835.387
n01742172_4208.JPEG,820.128
n01742172_4258.JPEG,821.305
n01742172_4285.JPEG,819.020
n01742172_4635.JPEG,816.295
n01742172_4846.JPEG,823.565
n01742172_4912.JPEG,1006.338
n01742172_5028.JPEG,820.724
n01742172_5086.JPEG,824.092
n01742172_5419.JPEG,828.499
n01742172_5517.JPEG,838.038
n01742172_6567.JPEG,822.880
n01742172_6638.JPEG,827.301
n01742172_6777.JPEG,817.573
n01742172_7306.JPEG,822.367
n01742172_760.JPEG,831.780
n01742172_8412.JPEG,845.595
n01742172_8447.JPEG,826.465
n01742172_8697.JPEG,830.348
n01742172_8887.JPEG,814.341
n01742172_9230.JPEG,818.800
n01742172_9446.JPEG,842.392
n01744401_11646.JPEG,806.837
n01744401_12113.JPEG,834.334
n01744401_12140.JPEG,816.975
n01744401_14.JPEG,816.880
n01744401_14224.JPEG,813.358
n01744401_2313.JPEG,833.260
n01744401_2506.JPEG,822.846
n01744401_2653.JPEG,816.081
n01744401_299.JPEG,1147.619
n01744401_3430.JPEG,813.127
n01744401_376.JPEG,853.939
n01744401_3828.JPEG,815.969
n01744401_4078.JPEG,816.335
n01744401_45.JPEG,835.724
n01744401_8186.JPEG,832.356
n01744401_8671.JPEG,811.910
n01774750_10010.JPEG,818.458
n01774750_1103.JPEG,813.551
n01774750_13131.JPEG,826.507
n01774750_19.JPEG,836.498
n01774750_240.JPEG,826.488
n01774750_3343.JPEG,837.871
n01774750_4790.JPEG,842.925
n01774750_4932.JPEG,845.934
n01774750_5319.JPEG,855.369
n01774750_6942.JPEG,834.366
n01774750_7389.JPEG,834.177
n01774750_8622.JPEG,835.926
n01774750_9685.JPEG,827.807
n01796340_16513.JPEG,900.119
n01796340_17899.JPEG,836.183
n01820546_15031.JPEG,838.161
n01820546_16211.JPEG,837.420
n01820546_17794.JPEG,830.410
n01820546_18704.JPEG,897.941
n01820546_3298.JPEG,867.319
n01820546_3782.JPEG,841.125
n01820546_4307.JPEG,859.582
n01820546_439.JPEG,869.785
n01820546_4570.JPEG,879.956
n01820546_6582.JPEG,810.246
n01820546_6916.JPEG,828.478
n01820546_9467.JPEG,839.382
n01871265_1008.JPEG,850.977
