ts,gpu,cpu1,cpu2,cpu3,cpu4,ram,temp_gpu,temp_cpu,power
1765483986.1122367,0,14,25,38,17,3.7863807678222656,60.5,62.0,2.985
1765483986.313571,0,14,25,38,17,3.7863807678222656,60.5,62.0,2.985
1765483986.5169106,0,14,25,38,17,3.7863807678222656,60.5,62.0,2.985
1765483986.7184315,99,71,56,58,57,3.730224609375,37.5,39.0,7.507
1765483986.9195855,99,71,56,58,57,3.730224609375,37.5,39.0,7.507
1765483987.1207237,99,71,56,58,57,3.730224609375,37.5,39.0,7.507
1765483987.3225582,99,56,71,51,60,3.728687286376953,38.0,39.0,8.808
1765483987.5242682,99,56,71,51,60,3.728687286376953,38.0,39.0,8.808
1765483987.7282786,99,34,26,38,37,3.718414306640625,37.5,38.0,7.2
1765483987.929775,99,34,26,38,37,3.718414306640625,37.5,38.0,7.2
1765483988.1313305,99,34,26,38,37,3.718414306640625,37.5,38.0,7.2
1765483988.3325624,99,48,19,21,16,3.71563720703125,38.0,38.0,8.014
1765483988.534435,99,48,19,21,16,3.71563720703125,38.0,38.0,8.014
1765483988.7355802,70,29,19,27,23,3.715240478515625,37.5,38.5,6.189
1765483988.9364922,70,29,19,27,23,3.715240478515625,37.5,38.5,6.189
1765483989.138893,70,29,19,27,23,3.715240478515625,37.5,38.5,6.189
1765483989.342082,99,39,19,14,21,3.715526580810547,38.0,38.0,7.507
1765483989.543523,99,39,19,14,21,3.715526580810547,38.0,38.0,7.507
1765483989.7447686,99,43,26,20,26,3.71722412109375,38.0,39.0,7.468
1765483989.9485056,99,43,26,20,26,3.71722412109375,38.0,39.0,7.468
1765483990.1531827,99,43,26,20,26,3.71722412109375,38.0,39.0,7.468
1765483990.354664,99,22,14,19,20,3.7162933349609375,37.5,37.5,7.547
1765483990.5569022,99,22,14,19,20,3.7162933349609375,37.5,37.5,7.547
1765483990.758254,99,20,30,34,47,3.717578887939453,37.5,37.5,7.011
1765483990.9593499,99,20,30,34,47,3.717578887939453,37.5,37.5,7.011
1765483991.16077,99,20,30,34,47,3.717578887939453,37.5,37.5,7.011
1765483991.362184,99,18,21,17,19,3.7120285034179688,38.0,37.5,7.44
1765483991.5635924,99,18,21,17,19,3.7120285034179688,38.0,37.5,7.44
1765483991.764986,99,18,21,17,19,3.7120285034179688,38.0,37.5,7.44
1765483991.966407,99,27,44,29,20,3.7133750915527344,38.0,38.5,7.934
1765483992.169341,99,27,44,29,20,3.7133750915527344,38.0,38.5,7.934
1765483992.37066,99,23,22,17,15,3.7123680114746094,38.0,38.0,6.971
1765483992.5717032,99,23,22,17,15,3.7123680114746094,38.0,38.0,6.971
1765483992.7727768,99,23,22,17,15,3.7123680114746094,38.0,38.0,6.971
1765483992.97556,99,20,48,25,34,3.7129592895507812,38.0,38.0,7.4
1765483993.1772447,99,20,48,25,34,3.7129592895507812,38.0,38.0,7.4
1765483993.3785236,99,20,22,22,23,3.7127227783203125,38.0,38.0,6.971
1765483993.5797799,99,20,22,22,23,3.7127227783203125,38.0,38.0,6.971
1765483993.78111,99,20,22,22,23,3.7127227783203125,38.0,38.0,6.971
1765483993.9828775,99,39,14,14,27,3.7130661010742188,38.0,38.0,8.014
1765483994.1864154,99,39,14,14,27,3.7130661010742188,38.0,38.0,8.014
1765483994.3880498,27,21,20,23,20,3.7129173278808594,38.0,37.5,4.78
1765483994.589241,27,21,20,23,20,3.7129173278808594,38.0,37.5,4.78
